# item,trivial,skill — measured from eqlog_Reviir_*, not from a wiki
Electrum Malachite Bracelet,74,Jewelry Making
Electrum Lapis Lazuli Earring,76,Jewelry Making
Potion of Accuracy,83,Alchemy
Electrum Bloodstone Necklace,87,Jewelry Making
Electrum Onyx Pendant,90,Jewelry Making
Electrum Jasper Earring,92,Jewelry Making
Electrum Amber Earring,100,Jewelry Making
Jaded Electrum Bracelet,106,Jewelry Making
Electrum Pearl Choker,108,Jewelry Making
Gold Malachite Bracelet,146,Jewelry Making
Golden Hematite Choker,154,Jewelry Making
